AL1 1NB,AL1  1NB,AL1 1NB,51.748951,-0.337605
AL1 1ND,AL1  1ND,AL1 1ND,51.749904,-0.339082
AL1 1NE,AL1  1NE,AL1 1NE,51.749181,-0.33735
AL1 1NF,AL1  1NF,AL1 1NF,51.749499,-0.336918
AL1 1NG,AL1  1NG,AL1 1NG,51.750305,-0.337975
AL1 1NH,AL1  1NH,AL1 1NH,51.749704,-0.338278
AL1 1NJ,AL1  1NJ,AL1 1NJ,51.749623,-0.339376
AL1 1NL,AL1  1NL,AL1 1NL,51.749302,-0.339533
AL1 1NN,AL1  1NN,AL1 1NN,51.749029,-0.338051
AL1 1NP,AL1  1NP,AL1 1NP,51.750636,-0.339136
AL1 1NQ,AL1  1NQ,AL1 1NQ,51.750684,-0.339352
AL1 1NR,AL1  1NR,AL1 1NR,51.742368,-0.322615
AL1 1NS,AL1  1NS,AL1 1NS,51.749895,-0.336339
AL1 1NT,AL1  1NT,AL1 1NT,51.749901,-0.335513
AL1 1NU,AL1  1NU,AL1 1NU,51.746493,-0.329771
AL1 1NW,AL1  1NW,AL1 1NW,51.750046,-0.336855
AL1 1NX,AL1  1NX,AL1 1NX,51.749308,-0.334883
AL1 1NY,AL1  1NY,AL1 1NY,51.749003,-0.335546
AL1 1NZ,AL1  1NZ,AL1 1NZ,51.749003,-0.335546
AL1 1PA,AL1  1PA,AL1 1PA,51.748626,-0.334386
AL1 1PB,AL1  1PB,AL1 1PB,51.748678,-0.335679
AL1 1PD,AL1  1PD,AL1 1PD,51.748239,-0.335174
AL1 1PE,AL1  1PE,AL1 1PE,51.744484,-0.329498
AL1 1PF,AL1  1PF,AL1 1PF,51.748213,-0.333764
AL1 1PG,AL1  1PG,AL1 1PG,51.747633,-0.332786
AL1 1PH,AL1  1PH,AL1 1PH,51.750452,-0.336956
AL1 1PJ,AL1  1PJ,AL1 1PJ,51.747543,-0.331781
AL1 1PL,AL1  1PL,AL1 1PL,51.747066,-0.330909
AL1 1PN,AL1  1PN,AL1 1PN,51.744281,-0.327883
AL1 1PP,AL1  1PP,AL1 1PP,51.746405,-0.330571
AL1 1PQ,AL1  1PQ,AL1 1PQ,51.748475,-0.333441
AL1 1PR,AL1  1PR,AL1 1PR,51.74677,-0.330491
AL1 1PS,AL1  1PS,AL1 1PS,51.746849,-0.331024
AL1 1PT,AL1  1PT,AL1 1PT,51.747043,-0.331822
AL1 1PU,AL1  1PU,AL1 1PU,51.746811,-0.332141
AL1 1PW,AL1  1PW,AL1 1PW,51.746296,-0.330031
AL1 1PX,AL1  1PX,AL1 1PX,51.75052,-0.336649
AL1 1PY,AL1  1PY,AL1 1PY,51.747638,-0.335074
AL1 1PZ,AL1  1PZ,AL1 1PZ,51.747828,-0.301865
AL1 1QA,AL1  1QA,AL1 1QA,51.747043,-0.332002
AL1 1QB,AL1  1QB,AL1 1QB,51.74746,-0.332262
AL1 1QD,AL1  1QD,AL1 1QD,51.747538,-0.333687
AL1 1QE,AL1  1QE,AL1 1QE,51.74806,-0.335667
AL1 1QF,AL1  1QF,AL1 1QF,51.747386,-0.334417
AL1 1QH,AL1  1QH,AL1 1QH,51.748549,-0.336518
AL1 1QJ,AL1  1QJ,AL1 1QJ,51.748877,-0.336397
AL1 1QL,AL1  1QL,AL1 1QL,51.749615,-0.335625
AL1 1QN,AL1  1QN,AL1 1QN,51.749143,-0.341254
AL1 1QP,AL1  1QP,AL1 1QP,51.746265,-0.332749
AL1 1QQ,AL1  1QQ,AL1 1QQ,51.747721,-0.335868
AL1 1QR,AL1  1QR,AL1 1QR,51.746265,-0.332749
AL1 1QS,AL1  1QS,AL1 1QS,51.746265,-0.332749
AL1 1QU,AL1  1QU,AL1 1QU,51.746985,-0.3317
AL1 1QW,AL1  1QW,AL1 1QW,51.746403,-0.332947
AL1 1QY,AL1  1QY,AL1 1QY,51.746265,-0.332749
AL1 1QZ,AL1  1QZ,AL1 1QZ,51.744484,-0.329498
AL1 1RA,AL1  1RA,AL1 1RA,51.747828,-0.301865
AL1 1RB,AL1  1RB,AL1 1RB,51.748002,-0.34045
AL1 1RD,AL1  1RD,AL1 1RD,51.747601,-0.339036
AL1 1RE,AL1  1RE,AL1 1RE,51.744484,-0.329498
AL1 1RF,AL1  1RF,AL1 1RF,51.747432,-0.337631
AL1 1RG,AL1  1RG,AL1 1RG,51.747543,-0.337859
AL1 1RH,AL1  1RH,AL1 1RH,51.748185,-0.339444
AL1 1RJ,AL1  1RJ,AL1 1RJ,51.747947,-0.338068
AL1 1RL,AL1  1RL,AL1 1RL,51.747874,-0.336694
AL1 1RN,AL1  1RN,AL1 1RN,51.748343,-0.337859
AL1 1RP,AL1  1RP,AL1 1RP,51.7485,-0.338824
AL1 1RQ,AL1  1RQ,AL1 1RQ,51.74781,-0.338313
AL1 1RR,AL1  1RR,AL1 1RR,51.748765,-0.339741
AL1 1RS,AL1  1RS,AL1 1RS,51.74903,-0.340064
AL1 1RT,AL1  1RT,AL1 1RT,51.748701,-0.337301
AL1 1RU,AL1  1RU,AL1 1RU,51.748843,-0.338232
AL1 1RW,AL1  1RW,AL1 1RW,51.748119,-0.337896
AL1 1RX,AL1  1RX,AL1 1RX,51.747063,-0.334667
AL1 1RY,AL1  1RY,AL1 1RY,51.746886,-0.334016
AL1 1RZ,AL1  1RZ,AL1 1RZ,51.745224,-0.331571
AL1 1SA,AL1  1SA,AL1 1SA,51.748627,-0.333792
AL1 1SD,AL1  1SD,AL1 1SD,51.746297,-0.333747
AL1 1SE,AL1  1SE,AL1 1SE,51.745398,-0.333114
AL1 1SF,AL1  1SF,AL1 1SF,51.744426,-0.331166
AL1 1SG,AL1  1SG,AL1 1SG,51.745126,-0.33227
AL1 1SH,AL1  1SH,AL1 1SH,51.744804,-0.330543
AL1 1SJ,AL1  1SJ,AL1 1SJ,51.745191,-0.329312
AL1 1SL,AL1  1SL,AL1 1SL,51.745459,-0.328758
AL1 1SN,AL1  1SN,AL1 1SN,51.745717,-0.330872
AL1 1SP,AL1  1SP,AL1 1SP,51.745817,-0.329028
AL1 1SQ,AL1  1SQ,AL1 1SQ,51.744664,-0.330128
AL1 1SR,AL1  1SR,AL1 1SR,51.745986,-0.329515
AL1 1SS,AL1  1SS,AL1 1SS,51.746434,-0.331946
AL1 1ST,AL1  1ST,AL1 1ST,51.744527,-0.331886
AL1 1SU,AL1  1SU,AL1 1SU,51.745933,-0.328981
AL1 1SW,AL1  1SW,AL1 1SW,51.746076,-0.330815
AL1 1SX,AL1  1SX,AL1 1SX,51.742138,-0.32032
AL1 1SZ,AL1  1SZ,AL1 1SZ,51.741563,-0.32203
AL1 1TA,AL1  1TA,AL1 1TA,51.742204,-0.320578
AL1 1TB,AL1  1TB,AL1 1TB,51.738857,-0.318321
AL1 1TD,AL1  1TD,AL1 1TD,51.739386,-0.319655
AL1 1TE,AL1  1TE,AL1 1TE,51.739384,-0.318707
AL1 1TF,AL1  1TF,AL1 1TF,51.738051,-0.31851
AL1 1TG,AL1  1TG,AL1 1TG,51.737026,-0.318563
AL1 1TH,AL1  1TH,AL1 1TH,51.738951,-0.317362
AL1 1TJ,AL1  1TJ,AL1 1TJ,51.740125,-0.318526
AL1 1TL,AL1  1TL,AL1 1TL,51.739601,-0.317511
AL1 1TN,AL1  1TN,AL1 1TN,51.741294,-0.321446
AL1 1TP,AL1  1TP,AL1 1TP,51.740176,-0.319373
AL1 1TQ,AL1  1TQ,AL1 1TQ,51.73769,-0.31218
AL1 1TR,AL1  1TR,AL1 1TR,51.749791,-0.33598
AL1 1TS,AL1  1TS,AL1 1TS,51.734162,-0.309459
AL1 1TT,AL1  1TT,AL1 1TT,51.747236,-0.339253
AL1 1TU,AL1  1TU,AL1 1TU,51.746737,-0.339575
AL1 1TW,AL1  1TW,AL1 1TW,51.740885,-0.320505
AL1 1TX,AL1  1TX,AL1 1TX,51.747213,-0.340653
AL1 1TY,AL1  1TY,AL1 1TY,51.737884,-0.319429
AL1 1TZ,AL1  1TZ,AL1 1TZ,51.74727,-0.333828
AL1 1UA,AL1  1UA,AL1 1UA,51.737699,-0.315945
AL1 1UB,AL1  1UB,AL1 1UB,51.737456,-0.316577
AL1 1UD,AL1  1UD,AL1 1UD,51.735358,-0.315091
AL1 1UE,AL1  1UE,AL1 1UE,51.73579,-0.315712
AL1 1UF,AL1  1UF,AL1 1UF,51.735773,-0.316466
AL1 1UG,AL1  1UG,AL1 1UG,51.73672,-0.316648
AL1 1UH,AL1  1UH,AL1 1UH,51.735465,-0.312553
AL1 1UJ,AL1  1UJ,AL1 1UJ,51.735461,-0.313465
AL1 1UL,AL1  1UL,AL1 1UL,51.735057,-0.313553
AL1 1UN,AL1  1UN,AL1 1UN,51.734256,-0.312873
AL1 1UP,AL1  1UP,AL1 1UP,51.734657,-0.310715
AL1 1UQ,AL1  1UQ,AL1 1UQ,51.736412,-0.314589
AL1 1UR,AL1  1UR,AL1 1UR,51.735203,-0.309927
AL1 1US,AL1  1US,AL1 1US,51.734293,-0.312915
AL1 1UT,AL1  1UT,AL1 1UT,51.735339,-0.311254
AL1 1UU,AL1  1UU,AL1 1UU,51.73622,-0.311844
AL1 1UW,AL1  1UW,AL1 1UW,51.73384,-0.312063
AL1 1UX,AL1  1UX,AL1 1UX,51.736817,-0.313386
AL1 1UY,AL1  1UY,AL1 1UY,51.734334,-0.31581
AL1 1UZ,AL1  1UZ,AL1 1UZ,51.733289,-0.312162
AL1 1WA,AL1  1WA,AL1 1WA,51.747828,-0.301865
AL1 1WB,AL1  1WB,AL1 1WB,51.747828,-0.301865
AL1 1WD,AL1  1WD,AL1 1WD,51.733275,-0.312156
AL1 1WE,AL1  1WE,AL1 1WE,51.747828,-0.301865
AL1 1WF,AL1  1WF,AL1 1WF,51.733275,-0.312156
AL1 1WG,AL1  1WG,AL1 1WG,51.733275,-0.312156
AL1 1WH,AL1  1WH,AL1 1WH,51.733275,-0.312156
AL1 1WJ,AL1  1WJ,AL1 1WJ,51.733275,-0.312156
AL1 1WN,AL1  1WN,AL1 1WN,51.747828,-0.301865
AL1 1WQ,AL1  1WQ,AL1 1WQ,51.747828,-0.301865
AL1 1WW,AL1  1WW,AL1 1WW,51.747828,-0.301865
AL1 1WX,AL1  1WX,AL1 1WX,51.747828,-0.301865
AL1 1WY,AL1  1WY,AL1 1WY,51.747828,-0.301865
AL1 1WZ,AL1  1WZ,AL1 1WZ,51.74765,-0.301973
AL1 1XA,AL1  1XA,AL1 1XA,51.735274,-0.318671
AL1 1XB,AL1  1XB,AL1 1XB,51.735008,-0.317668
AL1 1XD,AL1  1XD,AL1 1XD,51.733435,-0.315843
AL1 1XE,AL1  1XE,AL1 1XE,51.731617,-0.314463
